Points,EstimatedArea,RelativeError
100,0.92,0.0259574
600,1.04667,0.10815
1100,0.985455,0.0433421
1600,0.96,0.0163923
2100,0.952381,0.0083257
2600,0.964615,0.0212788
3100,0.949677,0.00546336
3600,0.965556,0.0222742
4100,0.957073,0.0132935
4600,0.948696,0.00442392
5100,0.955294,0.01141
5600,0.963571,0.0201735
6100,0.96,0.0163923
6600,0.964848,0.0215256
7100,0.964507,0.0211641
7600,0.967368,0.0241936
8100,0.97284,0.029986
8600,0.977674,0.035105
9100,0.976264,0.0336114
9600,0.971667,0.0287443
10100,0.970693,0.0277135
10600,0.970189,0.0271795
11100,0.971171,0.0282197
11600,0.971034,0.028075
12100,0.964959,0.0216423
12600,0.958095,0.0143757
13100,0.956947,0.0131595
13600,0.957941,0.0142125
14100,0.954894,0.010986
14600,0.957534,0.0137817
15100,0.960265,0.0166728
15600,0.96,0.0163923
16100,0.955776,0.0119206
16600,0.955422,0.0115451
17100,0.955789,0.0119344
17600,0.955,0.0110986
18100,0.956906,0.0131166
18600,0.958925,0.0152539
19100,0.954136,0.010184
19600,0.954286,0.0103424
20100,0.954428,0.0104928
20600,0.952233,0.00816907
21100,0.951469,0.00736038
21600,0.951111,0.00698127
22100,0.948778,0.0045114
22600,0.948142,0.00383731
23100,0.947186,0.00282574
23600,0.948814,0.00454875
24100,0.949378,0.00514592
24600,0.949756,0.00554666
25100,0.953147,0.00913718
25600,0.953281,0.00927888
26100,0.954023,0.0100642
26600,0.955188,0.0112976
27100,0.954391,0.010454
27600,0.953623,0.00964091
28100,0.951601,0.00750038
28600,0.947972,0.00365779
29100,0.949003,0.00474978
29600,0.948649,0.00437415
30100,0.947774,0.00344822
30600,0.948627,0.00435171
31100,0.948039,0.00372825
31600,0.948861,0.00459872
32100,0.948785,0.00451856
32600,0.947853,0.00353151
33100,0.948157,0.00385373
33600,0.949762,0.0055528
34100,0.949912,0.00571174
34600,0.951098,0.00696767
35100,0.950769,0.0066193
35600,0.949326,0.00509113
36100,0.94892,0.00466109
36600,0.949399,0.00516848
37100,0.949218,0.0049773
37600,0.949362,0.00512909
38100,0.948871,0.00460998
38600,0.949223,0.00498203
39100,0.948235,0.00393652
39600,0.947778,0.00345213
40100,0.946733,0.00234615
40600,0.948276,0.00397947
41100,0.948613,0.00433656
41600,0.949615,0.00539768
42100,0.951259,0.00713774
42600,0.950704,0.00655048
43100,0.952668,0.00862984
43600,0.951835,0.00774753
44100,0.951111,0.00698127
44600,0.952466,0.00841613
45100,0.950687,0.00653262
45600,0.949825,0.00561914
46100,0.949154,0.0049092
46600,0.950386,0.00621384
47100,0.950913,0.00677147
47600,0.952437,0.00838501
48100,0.952017,0.00793998
48600,0.952099,0.00802694
49100,0.951853,0.00776712
49600,0.952016,0.00793945
50100,0.953214,0.00920723
50600,0.953992,0.0100315
51100,0.952877,0.00885058
51600,0.953023,0.00900573
52100,0.953781,0.00980819
52600,0.954525,0.0105954
53100,0.955631,0.0117665
53600,0.955672,0.0118097
54100,0.954677,0.0107561
54600,0.95619,0.012359
55100,0.955935,0.0120882
55600,0.956043,0.012203
56100,0.955579,0.0117119
56600,0.955124,0.0112295
57100,0.955236,0.0113489
57600,0.955417,0.0115397
58100,0.954905,0.0109984
58600,0.954744,0.0108276
59100,0.954653,0.0107313
59600,0.953758,0.00978405
60100,0.952812,0.00878205
60600,0.953003,0.00898461
61100,0.953061,0.00904523
61600,0.952273,0.00821112
62100,0.951884,0.00779962
62600,0.951821,0.00773295
63100,0.951125,0.00699618
63600,0.951572,0.00746957
64100,0.952137,0.00806772
64600,0.952941,0.00891883
65100,0.953548,0.00956171
65600,0.953659,0.00967833
66100,0.954009,0.0100495
66600,0.953093,0.00907967
67100,0.952608,0.00856614
67600,0.952959,0.00893726
68100,0.951953,0.00787262
68600,0.95242,0.00836686
69100,0.953227,0.00922166
69600,0.953908,0.0099425
70100,0.953894,0.00992809
70600,0.953428,0.009434
71100,0.952743,0.00870861
71600,0.952291,0.00822994
72100,0.952122,0.00805159
72600,0.951956,0.0078757
73100,0.95119,0.00706495
73600,0.951739,0.00764618
74100,0.951741,0.00764804
74600,0.951582,0.00747957
75100,0.951957,0.00787726
75600,0.952116,0.00804561
76100,0.951748,0.00765525
76600,0.951436,0.00732527
77100,0.951077,0.00694465
77600,0.950825,0.00667807
78100,0.949859,0.00565577
78600,0.948804,0.00453871
79100,0.948875,0.00461363
79600,0.948291,0.00399598
80100,0.948564,0.00428484
80600,0.948387,0.00409724
81100,0.948557,0.00427748
81600,0.94799,0.00367702
82100,0.948015,0.00370288
82600,0.947942,0.00362588
83100,0.947052,0.00268344
83600,0.947416,0.00306938
84100,0.947111,0.00274574
84600,0.946998,0.00262616
85100,0.946463,0.0020601
85600,0.946121,0.00169855
86100,0.945691,0.00124283
86600,0.944665,0.000156631
87100,0.94434,0.000187764
87600,0.944064,0.000479884
88100,0.9442,0.000336058
88600,0.943928,0.000624044
89100,0.943973,0.000576085
89600,0.944554,3.85229e-05
90100,0.944506,1.17325e-05
90600,0.944901,0.000406003
91100,0.944676,0.000168334
91600,0.944541,2.57262e-05
92100,0.945103,0.000620383
92600,0.945097,0.000614077
93100,0.945263,0.000789792
93600,0.944829,0.000330194
94100,0.944867,0.000370535
94600,0.945285,0.000813354
95100,0.94511,0.000628071
95600,0.944519,1.73904e-06
96100,0.944932,0.000439564
96600,0.944803,0.000302934
97100,0.945211,0.0007347
97600,0.945205,0.000728131
98100,0.945076,0.000592119
98600,0.944949,0.000457487
99100,0.94551,0.0010507
99600,0.945622,0.00117023
